municipio,fecha,luces_nocturnas,densid_vial,imae,interaccion_causal,area_km2,imae_primario,imae_secundario,imae_terciario,poblacion_estimada,categoria
Municipio de Jinotega,2020-07-01,0.132548987865448,1.1727729465782883,148.16947457966,173.76915129574465,882.5214718477508,187.1016382845974,133.92389928431183,136.59923699832513,139515.234375,Estrato Medio
Municipio de Jinotega,2020-08-01,0.137588351964951,1.1727729465782883,148.432089202293,174.0771386205445,882.5214718477508,189.1126524755478,134.09439688981556,137.14685064585194,139515.234375,Estrato Medio
Municipio de Jinotega,2020-09-01,0.134082421660423,1.1727729465782883,148.997788270723,174.74057518390373,882.5214718477508,190.23934881842385,134.99070601026096,137.84769609672196,139515.234375,Estrato Medio
Municipio de Jinotega,2020-10-01,0.134471550583839,1.1727729465782883,149.862724429355,175.7549489112647,882.5214718477508,190.98470562709,136.52169966940554,138.65564039891913,139515.234375,Estrato Medio
Municipio de Jinotega,2020-11-01,0.151726469397545,1.1727729465782883,150.968974174506,177.05232868453692,882.5214718477508,192.6742863581772,138.51517744036502,139.53730454615848,139515.234375,Estrato Medio
Municipio de Jinotega,2020-12-01,0.137114107608795,1.1727729465782883,152.242891560635,178.54634453116475,882.5214718477508,196.0071454456758,140.7987994768787,140.43819642764953,139515.234375,Estrato Medio
Municipio de Jinotega,2021-01-01,0.155052527785301,1.1727729465782883,153.783547871909,180.353184573002,882.5214718477508,200.7746381367128,143.1283839595385,141.3025169920886,139515.234375,Estrato Medio
Municipio de Jinotega,2021-02-01,0.124076619744301,1.1727729465782883,155.513796425812,182.3823732678756,882.5214718477508,205.7796719453428,145.284965350168,142.14299547262272,139515.234375,Estrato Medio
Municipio de Jinotega,2021-03-01,0.125696614384651,1.1727729465782883,157.227408405625,184.3920510387328,882.5214718477508,209.1717766227418,147.3587114326259,143.0213170850884,139515.234375,Estrato Medio
Municipio de Jinotega,2021-04-01,0.076337106525898,1.1727729465782883,158.688854599174,186.1059955974069,882.5214718477508,210.5322465916836,149.28342010652833,143.89697970406635,139515.234375,Estrato Medio
Municipio de Jinotega,2021-05-01,0.167018100619316,1.1727729465782883,159.749124097623,187.34945098127,882.5214718477508,210.398781030599,151.09226191412273,144.72419421876586,139515.234375,Estrato Medio
Municipio de Jinotega,2021-06-01,0.139927059412003,1.1727729465782883,160.461618018438,188.1850445762033,882.5214718477508,209.586147061822,152.89202354065188,145.45868252816567,139515.234375,Estrato Medio
Municipio de Jinotega,2021-07-01,0.163547307252884,1.1727729465782883,161.02706360835,188.8481838668141,882.5214718477508,209.12362846973,154.8338689968771,146.1126735836436,139515.234375,Estrato Medio
Municipio de Jinotega,2021-08-01,0.117845423519611,1.1727729465782883,161.578994515945,189.4954735036219,882.5214718477508,209.6649560680782,156.8542310319847,146.72838413855698,139515.234375,Estrato Medio
Municipio de Jinotega,2021-09-01,0.223865151405334,1.1727729465782883,162.016833738952,190.00895949931532,882.5214718477508,211.3309121330936,158.68975963212122,147.3037658098787,139515.234375,Estrato Medio
Municipio de Jinotega,2021-10-01,0.126694694161415,1.1727729465782883,162.292730849732,190.33252416687728,882.5214718477508,213.432054604097,160.0495348874903,147.83622545838324,139515.234375,Estrato Medio
